Task ID,Sprint,Epic,Feature,Task Description
TASK-001,Sprint 1,Epic 1: Derived Stat Persistence,Feature 1.1: Character Hidden Stat Fields,Identify all existing Character WPForms field IDs for stats and metadata
TASK-002,Sprint 1,Epic 1: Derived Stat Persistence,Feature 1.1: Character Hidden Stat Fields,Add hidden field game_system to Character form (final step)
TASK-003,Sprint 1,Epic 1: Derived Stat Persistence,Feature 1.1: Character Hidden Stat Fields,Add hidden field char_melee_damage to Character form
TASK-004,Sprint 1,Epic 1: Derived Stat Persistence,Feature 1.1: Character Hidden Stat Fields,Add hidden field char_melee_crit to Character form
TASK-005,Sprint 1,Epic 1: Derived Stat Persistence,Feature 1.1: Character Hidden Stat Fields,Add hidden field char_melee_distance to Character form
TASK-006,Sprint 1,Epic 1: Derived Stat Persistence,Feature 1.1: Character Hidden Stat Fields,Add hidden field char_ranged_damage to Character form
TASK-007,Sprint 1,Epic 1: Derived Stat Persistence,Feature 1.1: Character Hidden Stat Fields,Add hidden field char_ranged_crit to Character form
TASK-008,Sprint 1,Epic 1: Derived Stat Persistence,Feature 1.1: Character Hidden Stat Fields,Add hidden field char_ranged_distance to Character form
TASK-009,Sprint 1,Epic 1: Derived Stat Persistence,Feature 1.1: Character Hidden Stat Fields,Add hidden field char_atk to Character form
TASK-010,Sprint 1,Epic 1: Derived Stat Persistence,Feature 1.1: Character Hidden Stat Fields,Add hidden field char_def to Character form
TASK-011,Sprint 1,Epic 1: Derived Stat Persistence,Feature 1.1: Character Hidden Stat Fields,Add hidden field char_mov to Character form
TASK-012,Sprint 1,Epic 1: Derived Stat Persistence,Feature 1.1: Character Hidden Stat Fields,Add hidden field char_bod to Character form
TASK-013,Sprint 1,Epic 1: Derived Stat Persistence,Feature 1.1: Character Hidden Stat Fields,Add hidden field char_ldr to Character form
TASK-014,Sprint 1,Epic 1: Derived Stat Persistence,Feature 1.1: Character Hidden Stat Fields,Add hidden field char_ini to Character form
TASK-015,Sprint 1,Epic 1: Derived Stat Persistence,Feature 1.1: Character Hidden Stat Fields,Add hidden field char_total_cost to Character form
TASK-016,Sprint 1,Epic 1: Derived Stat Persistence,Feature 1.1: Character Hidden Stat Fields,Add hidden field char_mrbpa_modifiers to Character form
TASK-017,Sprint 1,Epic 1: Derived Stat Persistence,Feature 1.1: Character Hidden Stat Fields,Update Character JS to set game_system = 'Path of Ascension' on init or submit
TASK-018,Sprint 1,Epic 1: Derived Stat Persistence,Feature 1.1: Character Hidden Stat Fields,Update Character JS to write melee damage/crit/distance into hidden fields
TASK-019,Sprint 1,Epic 1: Derived Stat Persistence,Feature 1.1: Character Hidden Stat Fields,Update Character JS to write ranged damage/crit/distance into hidden fields
TASK-020,Sprint 1,Epic 1: Derived Stat Persistence,Feature 1.1: Character Hidden Stat Fields,Update Character JS to write ATK/DEF/MOV/BOD/LDR/INI into hidden fields
